mentor_id,feedback_text,sentiment,score
MT111,Not Helpful,Negative,1
MT116,Very Helpful,Positive,5
MT101,Lacks Clarity,Negative,1
MT115,Needs Improvement,Negative,1
MT125,Average Session,Neutral,3
MT135,Lacks Clarity,Negative,1
MT122,Average Session,Neutral,3
MT125,Fair Teaching,Neutral,3
MT137,Very Helpful,Positive,5
MT106,Below Average Mentor,Negative,1
MT133,Average Support,Neutral,3
MT127,Very Poor Session,Negative,1
MT127,Needs Improvement,Negative,1
MT111,Below Average Mentor,Negative,1
MT110,Impressive Teaching,Positive,5
MT111,Poor Guidance,Negative,1
MT124,Superb Guidance,Positive,5
MT115,Very Helpful,Positive,5
MT137,Outstanding Help,Positive,5
MT125,Below Average Mentor,Negative,1
MT118,Superb Guidance,Positive,5
MT113,Below Average Mentor,Negative,1
MT112,Below Average Mentor,Negative,1
MT102,So So Mentor,Neutral,3
MT107,Acceptable Guidance,Neutral,3
MT129,Lacks Clarity,Negative,1
MT104,Poor Guidance,Negative,1
MT114,Needs Improvement,Negative,1
MT140,Average Session,Neutral,3
MT128,Poor Guidance,Negative,1
MT101,Fantastic Sessions,Positive,5
MT127,Needs Improvement,Negative,1
MT140,Needs Improvement,Negative,1
MT138,Moderate Help,Neutral,3
MT107,Very Knowledgeable,Positive,5
MT105,Ordinary Session,Neutral,3
MT106,Satisfactory Session,Neutral,3
MT128,Very Poor Session,Negative,1
MT140,Excellent Support,Positive,5
MT111,Below Average Mentor,Negative,1
MT136,Highly Recommended,Positive,5
MT108,Very Poor Session,Negative,1
MT117,Moderate Help,Neutral,3
MT109,Very Poor Session,Negative,1
MT106,Exceptional Mentor,Positive,5
MT116,Good Guidance,Positive,5
MT119,Excellent Support,Positive,5
MT106,Poor Communication,Negative,1
MT108,Unsatisfactory Help,Negative,1
MT139,Okay Mentor,Neutral,3
MT111,Great Support,Positive,5
MT127,Lacks Clarity,Negative,1
MT105,Outstanding Help,Positive,5
MT114,Very Helpful,Positive,5
MT111,Poor Communication,Negative,1
MT117,Good Guidance,Positive,5
MT139,Very Helpful,Positive,5
MT135,Brilliant Mentor,Positive,5
MT109,So So Mentor,Neutral,3
MT116,Average Session,Neutral,3
MT114,So So Mentor,Neutral,3
MT115,Fair Teaching,Neutral,3
MT102,Highly Recommended,Positive,5
MT101,Fantastic Sessions,Positive,5
MT117,So So Mentor,Neutral,3
MT118,Disappointing Session,Negative,1
MT114,Not Recommended,Negative,1
MT107,Not Recommended,Negative,1
MT104,Not Helpful,Negative,1
MT135,Great Support,Positive,5
MT111,Unsatisfactory Help,Negative,1
MT139,Needs Improvement,Negative,1
MT105,Satisfactory Session,Neutral,3
MT116,Average Support,Neutral,3
MT113,Fantastic Sessions,Positive,5
MT140,Very Poor Session,Negative,1
MT135,Outstanding Help,Positive,5
MT129,Wonderful Teaching,Positive,5
MT114,Good Guidance,Positive,5
MT114,Okay Mentor,Neutral,3
MT121,Satisfactory Session,Neutral,3
MT128,Disappointing Session,Negative,1
MT108,Disappointing Session,Negative,1
MT126,Brilliant Mentor,Positive,5
MT111,Satisfactory Session,Neutral,3
MT102,Average Support,Neutral,3
MT140,Outstanding Help,Positive,5
MT122,Very Poor Session,Negative,1
MT119,Impressive Teaching,Positive,5
MT111,Poor Guidance,Negative,1
MT115,Poor Communication,Negative,1
MT117,Excellent Mentor,Positive,5
MT102,Poor Guidance,Negative,1
MT137,Needs Improvement,Negative,1
MT112,Fantastic Sessions,Positive,5
MT138,Impressive Teaching,Positive,5
MT117,Not Recommended,Negative,1
MT121,Very Helpful,Positive,5
MT128,Superb Guidance,Positive,5
MT104,Moderate Help,Neutral,3
MT104,Ordinary Session,Neutral,3
MT106,Remarkable Guidance,Positive,5
MT119,Decent Guidance,Neutral,3
MT124,Average Session,Neutral,3
MT123,Superb Guidance,Positive,5
MT124,Acceptable Guidance,Neutral,3
MT114,Great Support,Positive,5
MT101,Very Knowledgeable,Positive,5
MT138,Average Support,Neutral,3
MT123,Brilliant Mentor,Positive,5
MT116,Great Support,Positive,5
MT128,Okay Mentor,Neutral,3
MT128,Fantastic Sessions,Positive,5
MT104,Not Helpful,Negative,1
MT124,Decent Guidance,Neutral,3
MT130,Disappointing Session,Negative,1
MT104,Superb Guidance,Positive,5
MT131,Average Support,Neutral,3
MT103,Exceptional Mentor,Positive,5
MT117,Superb Guidance,Positive,5
MT140,Acceptable Guidance,Neutral,3
MT117,Moderate Help,Neutral,3
MT121,Wonderful Teaching,Positive,5
MT113,Excellent Mentor,Positive,5
MT106,So So Mentor,Neutral,3
MT138,Impressive Teaching,Positive,5
MT105,Impressive Teaching,Positive,5
MT103,Highly Recommended,Positive,5
MT104,Unsatisfactory Help,Negative,1
MT102,Lacks Clarity,Negative,1
MT105,Very Knowledgeable,Positive,5
MT124,Average Session,Neutral,3
MT113,Brilliant Mentor,Positive,5
MT140,Poor Guidance,Negative,1
MT125,Highly Recommended,Positive,5
MT135,Very Helpful,Positive,5
MT111,So So Mentor,Neutral,3
MT139,Okay Mentor,Neutral,3
MT128,Wonderful Teaching,Positive,5
MT130,Very Helpful,Positive,5
MT124,Below Average Mentor,Negative,1
MT131,Poor Guidance,Negative,1
MT115,Very Knowledgeable,Positive,5
MT110,Needs Improvement,Negative,1
MT131,Average Support,Neutral,3
MT128,Impressive Teaching,Positive,5
MT106,Fair Teaching,Neutral,3
MT140,Average Support,Neutral,3
MT118,Impressive Teaching,Positive,5
MT107,Not Helpful,Negative,1
MT118,Poor Communication,Negative,1
MT125,Decent Guidance,Neutral,3
MT107,So So Mentor,Neutral,3
MT105,Decent Guidance,Neutral,3
MT103,Very Helpful,Positive,5
MT124,Outstanding Help,Positive,5
MT105,Great Support,Positive,5
MT139,Okay Mentor,Neutral,3
MT130,Fair Teaching,Neutral,3
MT125,Excellent Mentor,Positive,5
MT130,Not Helpful,Negative,1
MT127,Excellent Mentor,Positive,5
MT138,Very Poor Session,Negative,1
MT104,Very Knowledgeable,Positive,5
MT102,Exceptional Mentor,Positive,5
MT134,Wonderful Teaching,Positive,5
MT133,Exceptional Mentor,Positive,5
MT116,Poor Communication,Negative,1
MT114,Okay Mentor,Neutral,3
MT125,Highly Recommended,Positive,5
MT130,Satisfactory Session,Neutral,3
MT134,Highly Recommended,Positive,5
MT135,Brilliant Mentor,Positive,5
MT112,Disappointing Session,Negative,1
MT112,Poor Communication,Negative,1
MT119,Remarkable Guidance,Positive,5
MT114,Decent Guidance,Neutral,3
MT103,Remarkable Guidance,Positive,5
MT109,Poor Guidance,Negative,1
MT116,Acceptable Guidance,Neutral,3
MT114,Not Recommended,Negative,1
MT134,Brilliant Mentor,Positive,5
MT122,Okay Mentor,Neutral,3
MT119,Wonderful Teaching,Positive,5
MT101,Great Support,Positive,5
